tags,name,patrons,month_amount,total_amount
"BLOG,YOUTUBE,MOTORYZACJA",Paweł Bywalec,0,0 zł,0 zł
"SPORT,BLOG,KULINARNI",VeganoManiak,1,35 zł,350 zł
"LITERATURA,BLOG,NAUKA",Wokół „Ponurego” - Historia AK,1,20 zł,1180 zł
"LITERATURA,EDUKACJA,BLOG",Lidia Suberlak,0,0 zł,60 zł
"BLOG,KULINARNI,ZDROWIE",Keto Rewolucje,0,0 zł,0 zł
"GRY,BLOG,YOUTUBE",MrSkynert,0,0 zł,315 zł
"SZTUKA,BLOG,SPOŁECZNE",Kultura na Czasie blog,5,50 zł,3588 zł
"EDUKACJA,PUBLICYSTYKA,BLOG",Rynek Lubelski,0,0 zł,0 zł
"BLOG,YOUTUBE,SPOŁECZNE",Rafał Chudy,4,285 zł,4165 zł
"EDUKACJA,BLOG,NAUKA",eCytryna.pl,0,0 zł,0 zł
"WYPRAWY,BLOG,KULINARNI",kierunkowo.pl,0,0 zł,30 zł
"INNE,BLOG,YOUTUBE",Blog Mundurowy,1,10 zł,30 zł
"GRY,PUBLICYSTYKA,BLOG",techsetter,0,0 zł,300 zł
"BLOG,ZDROWIE,SPOŁECZNE",Małgorzata Akkuş,0,0 zł,100 zł
"EDUKACJA,BLOG,ZWIERZĘTA",GADZIARNIA,1,20 zł,170 zł
"BLOG,ZDROWIE,SPOŁECZNE",Holistyczne.pl,0,0 zł,45 zł
"SPORT,EDUKACJA,BLOG",Tylko szachy,0,0 zł,0 zł
"EDUKACJA,BLOG,NAUKA",Crowdnews.pl,8,FALSE,FALSE
"PUBLICYSTYKA,BLOG,SPOŁECZNE",Moje wyspy,12,188 zł,7280 zł
"MODA,BLOG,YOUTUBE",LUKSUSOWE TOREBKI by Lux&Happy,56,740 zł,11 tys. zł
"BLOG,ZWIERZĘTA,SPOŁECZNE",Anoxi,0,0 zł,770 zł
"WYPRAWY,BLOG,YOUTUBE",Ostra FINKA,3,50 zł,6755 zł
"EDUKACJA,BLOG,NAUKA",Maciej Bonk,1,20 zł,920 zł
"SPORT,BLOG,PODCAST",Ryby Mają Głos,3,30 zł,1930 zł
"BLOG,YOUTUBE,KULINARNI",Grecja od kuchni,0,0 zł,0 zł
"BLOG,ZDROWIE,SPOŁECZNE",Tomasz Urbaniec WCHZ,7,215 zł,6077 zł
"INNE,BLOG,SPOŁECZNE",Spotted Szczecinek,5,45 zł,1330 zł
"LITERATURA,PUBLICYSTYKA,BLOG",Writerat.pl,0,0 zł,0 zł
"BLOG,SPOŁECZNE",Cała Wioska,0,0 zł,322 zł
"EDUKACJA,BLOG,YOUTUBE",Michał - Perfumowe ABC,0,0 zł,9 zł
"DESIGN,BLOG,SPOŁECZNE",Sto Lat Planowania,3,30 zł,4065 zł
"SZTUKA,INNE,BLOG,#KULTURAWSIECI",Kinga Naczke| Lifestyle Girl,0,0 zł,210 zł
"SZTUKA,MALARSTWO,BLOG",Paulina Lucyna Danecka,0,0 zł,0 zł
"BLOG,YOUTUBE,ZDROWIE",Barbara Łuczyńska,0,0 zł,0 zł
"WYPRAWY,SPORT,BLOG",ODKRYJPLENER.PL,0,0 zł,0 zł
"SZTUKA,EDUKACJA,BLOG",Bajkartka,2,48 zł,1271 zł
"SPORT,PUBLICYSTYKA,BLOG",Podlaska piłka,3,45 zł,1635 zł
"BLOG,YOUTUBE,ZWIERZĘTA",Kitku Płaczku,1,5 zł,1210 zł
"PUBLICYSTYKA,BLOG,SPOŁECZNE",Błażej Strzelczyk,38,1310 zł,41 tys. zł
"BLOG,YOUTUBE",Justyna Aleksandra,0,0 zł,1575 zł
"LITERATURA,BLOG,YOUTUBE",Mariola Sternahl,0,0 zł,0 zł
"SPORT,EDUKACJA,BLOG",Ilona Lenik,1,35 zł,435 zł
"WYPRAWY,BLOG,ZWIERZĘTA",Z pamiętnika psa podróżnika,1,5 zł,285 zł
"WYPRAWY,BLOG",Family on Board - podróżujmy rodzinnie!,0,0 zł,0 zł
"WYPRAWY,SPORT,BLOG",Runandtravel.pl,32,789 zł,FALSE
"EDUKACJA,BLOG,YOUTUBE",Michał Szafrański,0,0 zł,0 zł
"BLOG,YOUTUBE",BÓGowscy,2,60 zł,680 zł
"EDUKACJA,BLOG,ZWIERZĘTA",Happy Rabbit,57,820 zł,16 tys. zł
"EDUKACJA,BLOG",Bardo - na tropie tajemnic historii,4,160 zł,5360 zł
"EDUKACJA,BLOG,SPOŁECZNE",Filip Kasprzyk,0,0 zł,0 zł
"EDUKACJA,BLOG,SPOŁECZNE",Kajetan Grobelny,0,0 zł,88 zł
"EDUKACJA,BLOG,PODCAST",Ze stoickim spokojem,68,1760 zł,34 tys. zł
"PUBLICYSTYKA,BLOG,NAUKA",Łukasz Bok,122,FALSE,FALSE
"EDUKACJA,BLOG,YOUTUBE",zakręcovnia,0,0 zł,0 zł
"LITERATURA,BLOG",Michał Fyda,0,0 zł,0 zł
"LITERATURA,WYPRAWY,BLOG",Okruchy Kultury,1,30 zł,750 zł
"FILM,BLOG,SPOŁECZNE",Służby w akcji,1,5 zł,400 zł
"LITERATURA,SZTUKA,BLOG",Jakub Skwarczyński,0,0 zł,0 zł
"EDUKACJA,BLOG,ZDROWIE",Anna Klonowska,0,0 zł,0 zł
"EDUKACJA,BLOG,STREAMERZY",zapamietaj.net,0,0 zł,0 zł
"BLOG,YOUTUBE",Dominika Mizia,5,160 zł,5630 zł
"EDUKACJA,BLOG,YOUTUBE",Przemyslaw Huminiecki (KryptoSensei),0,0 zł,0 zł
"EDUKACJA,PUBLICYSTYKA,BLOG",Tomasz Dziurko,5,70 zł,1740 zł
"EDUKACJA,BLOG,SPOŁECZNE",Herr Hamburger,4,65 zł,1525 zł
"EDUKACJA,BLOG,ZWIERZĘTA",Przystań dla Kociąt Koci Łapci,9,205 zł,2965 zł
"WYPRAWY,EDUKACJA,BLOG",Crazytravelbag,95,2030 zł,70 tys. zł
"RĘKODZIEŁO,BLOG,#KULTURAWSIECI",Nitkomaniacy,0,0 zł,892 zł
"GRY,BLOG,STREAMERZY",GryKZWP,1,10 zł,765 zł
"EDUKACJA,BLOG,SPOŁECZNE",Napisać Wschód,3,20 zł,830 zł
"WYPRAWY,SPORT,BLOG",Shes a cyclist,0,0 zł,0 zł
"WYPRAWY,BLOG,ZWIERZĘTA",Roger&Russell,0,0 zł,0 zł
"PUBLICYSTYKA,BLOG,SPOŁECZNE",Banasiewicz Blog,0,0 zł,1379 zł
"WYPRAWY,BLOG,PODCAST",OkiemMaleny.pl,0,0 zł,0 zł
"WYPRAWY,BLOG,YOUTUBE",Love Explore,2,110 zł,3240 zł
"BLOG,ZDROWIE,SPOŁECZNE",Yanek43,42,1050 zł,38 tys. zł
"EDUKACJA,BLOG,YOUTUBE",Inwestor Amator,0,0 zł,0 zł
"EDUKACJA,BLOG,ZWIERZĘTA",dzicyzapylacze.pl,FALSE,FALSE,FALSE
"BLOG,YOUTUBE,SPOŁECZNE",Łukasz Rybarski YES:),245,6140 zł,212 tys. zł
"WYPRAWY,BLOG,SPOŁECZNE",Bieszczady.Land,6,101 zł,2143 zł
"EDUKACJA,BLOG,PODCAST",Marketing Manager 2.0 podcast by Kacper Skoczylas,0,0 zł,15 zł
"FILM,BLOG,YOUTUBE",Darek Malinowski,1,7 zł,119 zł
"INNE,BLOG,NAUKA",Trzy Baryłki,0,0 zł,0 zł
"LITERATURA,BLOG,PODCAST",ekstra introwertyczka,0,0 zł,0 zł
"PUBLICYSTYKA,BLOG,POLITYKA",Wiesław Nowel,0,0 zł,0 zł
"RĘKODZIEŁO,BLOG,SPOŁECZNE",SJM Miniatures,0,0 zł,0 zł
"EDUKACJA,BLOG,PODCAST",wolnomularstwo.pl,14,533 zł,FALSE
"PUBLICYSTYKA,BLOG,SPOŁECZNE",Krowoderska.pl,8,250 zł,5097 zł
"WYPRAWY,EDUKACJA,BLOG",Wszystkie Strony Świata,0,0 zł,0 zł
"WYPRAWY,BLOG,YOUTUBE",Wędkarski Odjazd,1,10 zł,245 zł
"SZTUKA,EDUKACJA,BLOG,#KULTURAWSIECI",Kamila Mistarz,2,20 zł,1290 zł
"SZTUKA,BLOG,ROŚLINY",Piotr Bryja,0,0 zł,1750 zł
"INNE,EDUKACJA,BLOG",OdRudej,0,0 zł,0 zł
"EDUKACJA,BLOG,KULINARNI","Przedwojenne Restauracje, Bary i Hotele",2,410 zł,6435 zł
"GRY,BLOG,NAUKA",Geekweb,0,0 zł,0 zł
"BLOG,YOUTUBE,SPOŁECZNE",Ksiądz z osiedla,37,1030 zł,26 tys. zł
"BLOG,KULINARNI,STREAMERZY",WinnaIndi,0,0 zł,3100 zł
"EDUKACJA,BLOG,ZDROWIE",Nadia Veha,0,FALSE,FALSE
"INNE,EDUKACJA,BLOG",z229.pl Adrian,0,0 zł,0 zł
"KOMIKS,SZTUKA,BLOG",JEDEN RYSUNEK DZIENNIE,FALSE,FALSE,FALSE
"EDUKACJA,BLOG,PODCAST",Otwieramy Oczy,4,75 zł,4080 zł
"BLOG,YOUTUBE,ZDROWIE",Nulina,0,0 zł,0 zł
"WYPRAWY,BLOG,YOUTUBE",Gonna Travel,21,985 zł,20 tys. zł
"EDUKACJA,PUBLICYSTYKA,BLOG",Roman Roads,0,0 zł,0 zł
"WYPRAWY,BLOG,SPOŁECZNE",Witaj Grecjo,0,0 zł,0 zł
"EDUKACJA,BLOG,SPOŁECZNE",Skarby w Słowie Ukryte,FALSE,FALSE,FALSE
"LITERATURA,BLOG,PODCAST",Wojtek Szot - Zdaniem Szota,40,1175 zł,39 tys. zł
"TEATR,BLOG,PODCAST",Musicalna,10,135 zł,4310 zł
"EDUKACJA,BLOG,YOUTUBE",Marek Teologicznie,6,57 zł,807 zł
"BLOG,ZDROWIE,SPOŁECZNE",Daniel Kasprowicz,106,3943 zł,64 tys. zł
"SPORT,BLOG,YOUTUBE",ARTUR JOBDA,0,0 zł,0 zł
"SPORT,PUBLICYSTYKA,BLOG",RBLipsk.pl,0,0 zł,0 zł
"PUBLICYSTYKA,BLOG,YOUTUBE",Nelugia,1,30 zł,460 zł
"BLOG,PODCAST,ROŚLINY",Ogrodowa Alternatywa,1,50 zł,180 zł
"KOMIKS,BLOG,ZWIERZĘTA",Opowieści z Patolasu,1,5 zł,930 zł
"SPORT,PUBLICYSTYKA,BLOG",Szpilki na Trybunach,20 zł,FALSE,FALSE
"PUBLICYSTYKA,BLOG,POLITYKA",Michał Klimowski,0,0 zł,1200 zł
"EDUKACJA,BLOG,YOUTUBE",Life With IT,0,0 zł,0 zł
BLOG,Odporny na Świat,0,0 zł,0 zł
"LITERATURA,BLOG,STREAMERZY",smakksiazki.pl,46,1795 zł,8350 zł
"FILM,WYPRAWY,BLOG",Praust ocalić od zapomnienia,0,0 zł,0 zł
"WYPRAWY,EDUKACJA,BLOG",Dawny Kraków,FALSE,FALSE,FALSE
"EDUKACJA,BLOG,NAUKA",Fizyk Wyjaśnia,3,25 zł,2040 zł
"LITERATURA,SZTUKA,BLOG",Sonia Podgórska,0,0 zł,0 zł
"WYPRAWY,BLOG,YOUTUBE",Wędkuj z Julią,0,0 zł,3090 zł
"WYPRAWY,BLOG,YOUTUBE",DISCOVER THAILAND NOW,2,30 zł,240 zł
"SPORT,BLOG,SPOŁECZNE",Wama-Sport,0,0 zł,720 zł
"WYPRAWY,BLOG,YOUTUBE",Tomasz Slowinski USA,87,3145 zł,31 tys. zł
"WYPRAWY,BLOG,YOUTUBE",Globus na Karku,0,0 zł,60 zł
"SZTUKA,EDUKACJA,BLOG",toomacz,1,0 zł,FALSE
"INNE,EDUKACJA,BLOG",CiekawaMitologia.pl,0,0 zł,0 zł
"PUBLICYSTYKA,BLOG,YOUTUBE",Stary Kloc,0,0 zł,320 zł
"BLOG,PODCAST,NAUKA",Girls Gone Tech,0,0 zł,390 zł
"PUBLICYSTYKA,BLOG,PODCAST",Smak Nabyty,0,0 zł,0 zł
"BLOG,YOUTUBE",Dwie Pufy,2,35 zł,1850 zł
"GRY,INNE,BLOG",DCS World - Szkoła latania,9,180 zł,3780 zł
"BLOG,YOUTUBE,PODCAST",Aga Cieślak,1,33 zł,1143 zł
"WYPRAWY,SPORT,BLOG",Chicken Lifestyle,1,20 zł,705 zł
"BLOG,YOUTUBE,ZDROWIE",Agnes May Life Ciało-Umysł-Dusza,0,0 zł,0 zł
"PUBLICYSTYKA,BLOG,SPOŁECZNE",PolishNews24.com,1,20 zł,1195 zł
"GRAFIKA,BLOG,SPOŁECZNE",Saya Loveposting,0,0 zł,0 zł
"BLOG,YOUTUBE,KULINARNI",Słodki Pomysł - Magdalena Indyka,43,FALSE,FALSE
"BLOG,NAUKA,ZDROWIE",KetoReva.pl,2,60 zł,1789 zł
"LITERATURA,BLOG",Literackie Skarby Świata Całego,26,760 zł,19 tys. zł
"FILM,BLOG,YOUTUBE","Koń Movie - filmy, seriale",1,10 zł,1955 zł
"EDUKACJA,BLOG",Arek Skuza,0,0 zł,875 zł
"WYPRAWY,BLOG,YOUTUBE",Wawrzyńcem,3,24 zł,18 tys. zł
"PUBLICYSTYKA,BLOG,PODCAST",Sądecki Włóczykij,35 zł,2195 zł,FALSE
"BLOG,YOUTUBE,MOTORYZACJA",Na Prądzie,0,0 zł,1850 zł
"WYPRAWY,BLOG,YOUTUBE",Grzegorz Miecznikowski,26,1270 zł,14 tys. zł
"INNE,PUBLICYSTYKA,BLOG",issue27.pl,0,0 zł,0 zł
"BLOG,YOUTUBE,NAUKA",Italyolo,FALSE,FALSE,FALSE
"FILM,BLOG,SPOŁECZNE",Aktówka Kultury,3,45 zł,90 zł
"EDUKACJA,BLOG,NAUKA",@snap_in_the_lab,0,0 zł,0 zł
"WYPRAWY,BLOG,YOUTUBE",LONGWAVE Boards,0,0 zł,545 zł
"BLOG,NAUKA,ZWIERZĘTA",Magia Akwarystyki,0,0 zł,70 zł
"EDUKACJA,BLOG,YOUTUBE",kolejowe-lekcje.online,0,0 zł,1155 zł
"EDUKACJA,BLOG,PODCAST",Life in 20 kg,0,0 zł,0 zł
"WYPRAWY,BLOG,YOUTUBE",Szukając Przygody - Życie na Filipinach,9,405 zł,13 tys. zł
"EDUKACJA,BLOG,ZDROWIE",Kultura seksualna (Małgorzata Iwanek),FALSE,FALSE,FALSE
"BLOG,YOUTUBE,PODCAST",Zaprojektuj Swoje Życie,29,920 zł,FALSE
"BLOG,PODCAST,NAUKA",Anna Cykowska,4,85 zł,14 tys. zł
"SZTUKA,MALARSTWO,BLOG,#KULTURAWSIECI",KuKulturze.pl,1,5 zł,382 zł
"WYPRAWY,BLOG,ZDROWIE",Justyna Jaworska,3,100 zł,15 tys. zł
"EDUKACJA,BLOG,NAUKA",Mózgowiec,0,0 zł,222 zł
"PUBLICYSTYKA,BLOG,POLITYKA",Lepiej Wiedzieć,26,465 zł,1867 zł
"SPORT,BLOG,YOUTUBE",Andy,0,0 zł,70 zł
"EDUKACJA,BLOG",Pani Monia,5,25 zł,3130 zł
"BLOG,YOUTUBE,STREAMERZY",Stan Przedzawałowy,0,0 zł,585 zł
"EDUKACJA,BLOG,SPOŁECZNE",dr Anna Saj,25,1084 zł,33 tys. zł
"EDUKACJA,BLOG,ZDROWIE",Aleksander Biesiada,0,0 zł,279 zł
"BLOG,ZDROWIE",Gra na nerwach,16,195 zł,1795 zł
"BLOG,YOUTUBE,KULINARNI",Naturalnie Słodko,FALSE,FALSE,FALSE
"LITERATURA,BLOG,NAUKA",Magda Wieteska,0,0 zł,60 zł
"EDUKACJA,BLOG,KULINARNI",Przeszłość od kuchni,1,10 zł,550 zł
"INNE,BLOG",Memyhere,0,0 zł,150 zł
"SPORT,BLOG,PODCAST",Mariusz Ukleja,0,0 zł,0 zł
"EDUKACJA,BLOG,NAUKA",Blog dzialka.bazafirmy.pl,0,0 zł,0 zł
"INNE,BLOG,YOUTUBE",Malinowy Nos,0,0 zł,0 zł
"INNE,EDUKACJA,BLOG",Zabawa Wielka Sprawa,0,0 zł,1536 zł
"SPORT,BLOG,ZDROWIE",Hantle na talerzu,0,0 zł,0 zł
"EDUKACJA,BLOG",basnictvi,7,225 zł,4525 zł
"RĘKODZIEŁO,BLOG,YOUTUBE",Domowy Survival,25,550 zł,16 tys. zł
"PUBLICYSTYKA,BLOG,SPOŁECZNE",Bogiem Silne,0,0 zł,615 zł
"SPORT,BLOG,NAUKA",BT Gym,0,0 zł,14 tys. zł
"WYPRAWY,GRAFIKA,BLOG",Ryszard Galadhorn Derdziński,13,220 zł,10 tys. zł
"SPORT,BLOG,YOUTUBE",Michał Marek,0,0 zł,0 zł
"WYPRAWY,SPORT,BLOG",Kobieta Górom,14,235 zł,14 tys. zł
"EDUKACJA,BLOG,PODCAST",Stosunkowo Bliski Wschód,44,709 zł,17 tys. zł
"BLOG,PODCAST",Michał Polniak,0,0 zł,0 zł
"EDUKACJA,PUBLICYSTYKA,BLOG",Zdjęcie świadkiem historii,0,0 zł,0 zł
"WYPRAWY,BLOG,YOUTUBE",Nasz Karawaning,5,124 zł,1034 zł
"BLOG,YOUTUBE,PODCAST",Natalia Herman,0,0 zł,120 zł
"EDUKACJA,BLOG,YOUTUBE",Obejrzyj Before Flight,0,0 zł,0 zł
"WYPRAWY,BLOG,ROŚLINY",Luna i Las,0,0 zł,5585 zł
"EDUKACJA,BLOG,SPOŁECZNE",Karo Tashi,9,420 zł,9890 zł
"WYPRAWY,BLOG,SPOŁECZNE",Maja Okamgnienie,0,0 zł,411 zł
"EDUKACJA,BLOG,SPOŁECZNE",Fundacja Pomocy Prawnej Temida,0,0 zł,0 zł
"BLOG,NAUKA,SPOŁECZNE",Mimoza,FALSE,FALSE,FALSE
"EDUKACJA,BLOG,NAUKA","Elektronika, Układy FPGA",1,20 zł,1000 zł
"SPORT,BLOG,ZDROWIE",Kinga Żuralska,0,0 zł,180 zł
"DESIGN,BLOG",Mój storczyk _ Kamila Jacak,0,0 zł,0 zł
"BLOG,YOUTUBE,SPOŁECZNE",TATA Vlog,6,195 zł,1187 zł
"SZTUKA,GRAFIKA,BLOG",Sztuka Spalania,0,0 zł,15 zł
"WYPRAWY,BLOG,SPOŁECZNE",Justyna w podróży,0,0 zł,0 zł
"WYPRAWY,BLOG,YOUTUBE",Jedziemy Dalej,0,0 zł,275 zł
"SZTUKA,INNE,BLOG",Chwilo trwaj,3,27 zł,426 zł
"BLOG,YOUTUBE,SPOŁECZNE",Dom Dobre Miejsce,9,105 zł,5525 zł
"BLOG,YOUTUBE,SPOŁECZNE",Oblicza Kobiety,0,0 zł,990 zł
BLOG,Grzegorz Drabik,1,10 zł,415 zł
"LITERATURA,GRY,BLOG",Zapach Papieru,5,50 zł,1690 zł
"EDUKACJA,BLOG,SPOŁECZNE",Poznańska Limuzyna,0,0 zł,60 zł
"BLOG,ZDROWIE,SPOŁECZNE",Małgorzata Wesołowska,0,0 zł,FALSE
"BLOG,YOUTUBE,NAUKA",miboy,0,0 zł,0 zł
"BLOG,YOUTUBE",ArturHome,9,250 zł,9810 zł
"SZTUKA,BLOG",Róbmy Dobrze,1,5 zł,6030 zł
"DESIGN,BLOG,ROŚLINY",Piękne Ogrody 75,0,0 zł,0 zł
"BLOG,YOUTUBE",A TEN ZNÓW O DRONACH!,14,215 zł,33 tys. zł
"WYPRAWY,BLOG,YOUTUBE",Rodzina na polu,1,5 zł,1140 zł
"WYPRAWY,PUBLICYSTYKA,BLOG",vangrants | Michał i Dinara,FALSE,FALSE,FALSE
"EDUKACJA,BLOG,YOUTUBE",Wojciech Rubin,1,21 zł,252 zł
"LITERATURA,PUBLICYSTYKA,BLOG",BOOK.owsky! - Poezja Nowoczesna.,0,0 zł,0 zł
"BLOG,YOUTUBE,MOTORYZACJA",Mateusz Jadczak,0,0 zł,0 zł
"LITERATURA,BLOG,NAUKA",Maciej Tomaszewski,0,0 zł,63 zł
"BLOG,YOUTUBE,PODCAST",W mroku historii,0,0 zł,90 zł
"EDUKACJA,BLOG,NAUKA",Kataklizmy w Polsce i na świecie,16,380 zł,4390 zł
"BLOG,YOUTUBE,MOTORYZACJA",zDziś,FALSE,FALSE,FALSE
"WYPRAWY,BLOG,YOUTUBE",NaMajorce.pl,FALSE,FALSE,FALSE
"WYPRAWY,BLOG,YOUTUBE",Michał Tadeusz Mrozek,0,0 zł,0 zł
"RĘKODZIEŁO,BLOG,YOUTUBE",Daria Pieczonka,0,0 zł,45 zł
"SZTUKA,BLOG,YOUTUBE",Maro w Pałacu,0,0 zł,729 zł
"BLOG,YOUTUBE,ZWIERZĘTA",Stanisław Śmiech,0,0 zł,0 zł
"INNE,RĘKODZIEŁO,BLOG",Ruda Wariatka,0,0 zł,0 zł
"BLOG,YOUTUBE,NAUKA",Marek Zając (Codewin),1,8 zł,144 zł
"EDUKACJA,BLOG,SPOŁECZNE",Sisterhood and Sun,0,0 zł,3260 zł
"LITERATURA,PUBLICYSTYKA,BLOG,#KULTURAWSIECI",Maciej Głowacki,47,565 zł,21 tys. zł
"BLOG,KULINARNI",Gotuj z Rodziną,0,0 zł,0 zł
"FILM,BLOG,YOUTUBE",NAKRĘCENI,0,0 zł,0 zł
"EDUKACJA,PUBLICYSTYKA,BLOG",Frontem do Syrii,7,155 zł,6570 zł
"SPORT,PUBLICYSTYKA,BLOG",Michał Backiel,1,50 zł,1750 zł
"LITERATURA,BLOG,YOUTUBE",Mathie Rocks,0,0 zł,0 zł
"BLOG,ZWIERZĘTA,ZDROWIE",weterynarz.tez.czlowiek - M.Firlej-Oliwa,9,78 zł,6891 zł
"LITERATURA,WYPRAWY,BLOG",Echa z Festung Breslau,14,200 zł,4400 zł
"PUBLICYSTYKA,BLOG,NAUKA",Strefa Anime,0,0 zł,FALSE
"EDUKACJA,BLOG,SPOŁECZNE",Natalia Sochacka,0,0 zł,240 zł
"WYPRAWY,BLOG,YOUTUBE",Foxes in Eden,15,527 zł,22 tys. zł
"EDUKACJA,BLOG",insektojady.pl,0,0 zł,0 zł
"PUBLICYSTYKA,BLOG,MOTORYZACJA",kobietyiauta,0,0 zł,495 zł
"LITERATURA,BLOG,NAUKA",synopsa.pl,6,250 zł,3180 zł
"SPORT,BLOG,ZDROWIE",Biegologia.pl,0,0 zł,530 zł
"EDUKACJA,BLOG,YOUTUBE",Towarzystwo Konserwatywne,0,0 zł,0 zł
"BLOG,YOUTUBE,KULINARNI",MENU Dorotki,5,45 zł,1630 zł
"BLOG,YOUTUBE,MOTORYZACJA",Detailing Stachurski Barti Boy,0,0 zł,5 zł
"SPORT,BLOG,SPOŁECZNE",Dariusz Popiela,8,260 zł,6170 zł
"WYPRAWY,BLOG,SPOŁECZNE",Joanna Konopska,0,0 zł,1873 zł
"SPORT,BLOG,YOUTUBE",Siema Banda,FALSE,FALSE,FALSE
"EDUKACJA,BLOG",English Teacher Paulina,0,0 zł,0 zł
"FILM,LITERATURA,BLOG,#KULTURAWSIECI",Samochodem na wakacje.pl,1,5 zł,65 zł
"SZTUKA,EDUKACJA,BLOG",Ciekawi Krakowa,2,24 zł,1130 zł
"EDUKACJA,BLOG,SPOŁECZNE",meteolu.pl,0,0 zł,0 zł
"WYPRAWY,BLOG,ZWIERZĘTA",Odchamiaj się z Psem,0,0 zł,0 zł
"BLOG,YOUTUBE,SPOŁECZNE",CENTERKO,1,21 zł,681 zł
"EDUKACJA,BLOG,YOUTUBE",Bez tajemnic,3,57 zł,3294 zł
"BLOG,YOUTUBE",Maciek Iskra,0,0 zł,340 zł
"BLOG,YOUTUBE,NAUKA",SmartMe,0,0 zł,1635 zł
"INNE,BLOG,POLITYKA",Mariusz Piotrowski,0,0 zł,155 zł
"WYPRAWY,SPORT,BLOG",Wędrówki od A do Z,0,0 zł,258 zł
"PUBLICYSTYKA,BLOG",Lotnicze podkarpackie,0,0 zł,150 zł
"WYPRAWY,INNE,BLOG",Przygody Bombla,0,0 zł,0 zł
"PUBLICYSTYKA,BLOG,SPOŁECZNE",Jakub Iciaszek,3,77 zł,6454 zł
"BLOG,KULINARNI,SPOŁECZNE",Fundacja Dziewięciu Braci,0,0 zł,0 zł
"INNE,PUBLICYSTYKA,BLOG",Chmielnik Jakubowy - Jakub Siusta,0,0 zł,0 zł
"WYPRAWY,BLOG,YOUTUBE",Projektanteczka,0,0 zł,0 zł
"PUBLICYSTYKA,BLOG",Rozmowy do kawy,0,0 zł,10 zł
"WYPRAWY,BLOG,YOUTUBE",HollyMolly,10,260 zł,6160 zł
"EDUKACJA,BLOG,ZDROWIE",Witaj Słońce,0,0 zł,770 zł
"EDUKACJA,BLOG,YOUTUBE",Monika Róża Stachurska,0,0 zł,125 zł
"EDUKACJA,BLOG,SPOŁECZNE",Sara Cicherska,0,0 zł,887 zł
"SZTUKA,EDUKACJA,BLOG",PIEING Magdalena Milert,12,140 zł,10 tys. zł
"INNE,BLOG,NAUKA",Meteomodel,15,190 zł,4915 zł
"KOMIKS,INNE,BLOG",Janusze Biznesu,0,0 zł,0 zł
"BLOG,YOUTUBE,PODCAST",Podcast Gastronomiczny,0,0 zł,200 zł
"WYPRAWY,BLOG,YOUTUBE",Jakub Dabrowski,5,150 zł,6330 zł
"WYPRAWY,BLOG,PODCAST",Głosowe na WhatsAppie,FALSE,FALSE,FALSE
"WYPRAWY,EDUKACJA,BLOG",Marta Knasiecka,4,160 zł,910 zł
"EDUKACJA,BLOG,PODCAST",Na Styku Sieci,8,110 zł,4396 zł
"LITERATURA,SZTUKA,BLOG",Angelika Sobkowiak - CZYŚCICIELKA,0,0 zł,85 zł
"WYPRAWY,BLOG,ROŚLINY",Time Travel Bee,1,14 zł,98 zł
"WYPRAWY,BLOG,ZWIERZĘTA",Podróże z Pazurem,4,110 zł,10 tys. zł
"BLOG,SPOŁECZNE,STREAMERZY",Świadoma Komunikacja,0,0 zł,0 zł
"BLOG,YOUTUBE,MOTORYZACJA",Likonic_carnuthub,1,5 zł,710 zł
"EDUKACJA,BLOG,PODCAST",Krzysztof Jakubowski,4,130 zł,1750 zł
"BLOG,ZDROWIE,SPOŁECZNE",Chodzenie boso,FALSE,FALSE,FALSE
"BLOG,POLITYKA,SPOŁECZNE",Jan Anyszewski,0,0 zł,0 zł
"BLOG,YOUTUBE,ZDROWIE",Na Jednej Nodze,0,0 zł,0 zł
"EDUKACJA,BLOG,PODCAST",Pani Endorfina,8,415 zł,3985 zł
"EDUKACJA,GRAFIKA,BLOG",Milena Cieśla Umyślnie.pl,0,0 zł,30 zł
"SPORT,BLOG,YOUTUBE",M.D. Shooting,3,75 zł,3435 zł
"BLOG,NAUKA,ZDROWIE",Zdrowe Pasje,1,7 zł,189 zł
"PUBLICYSTYKA,BLOG,NAUKA",Wojna Mussoliniego,3,30 zł,4920 zł
"LITERATURA,BLOG,NAUKA",Magyazyn,1,20 zł,2150 zł
"EDUKACJA,BLOG,NAUKA",Anna Jędrzejczyk,0,0 zł,0 zł
"BLOG,YOUTUBE,PODCAST",MagiczneLata90.pl,0,0 zł,0 zł
"FILM,PUBLICYSTYKA,BLOG,#KULTURAWSIECI",Kinoholik,FALSE,FALSE,FALSE
"GRY,PUBLICYSTYKA,BLOG",VRmag.pl,0,0 zł,0 zł
"INNE,EDUKACJA,BLOG",Katarzyna PsychoAstrolog,0,0 zł,176 zł
"EDUKACJA,PUBLICYSTYKA,BLOG",Paweł Kubiak,0,0 zł,0 zł
"GRY,BLOG,SPOŁECZNE",Stary Znowu Gra,4,38 zł,1934 zł
"SPORT,BLOG,YOUTUBE",Futbol.Trening,0,0 zł,220 zł
"WYPRAWY,INNE,BLOG","Jak dorosnę, zostanę wikingiem",1,20 zł,360 zł
"WYPRAWY,BLOG,YOUTUBE",Camper Australia Trip,3,45 zł,2540 zł
"LITERATURA,INNE,BLOG",AKira - Wiktoria Poriazow,0,0 zł,0 zł
