tags,name,patrons,month_amount,total_amount
"MUZYKA,SZTUKA",Projekt Pandora,3,25 zł,125 zł
"MUZYKA,BLOG,SPOŁECZNE",NZNŻ - Sekcja Wspomagająca,5,95 zł,1065 zł
"MUZYKA,YOUTUBE",martwy simpxon,5,70 zł,270 zł
"MUZYKA,SZTUKA,STREAMERZY",Broken Mindz,5,120 zł,360 zł
"MUZYKA,YOUTUBE,PODCAST",Hirek Wrona,1,10 zł,60 zł
"MUZYKA,SPOŁECZNE",Fundacja Światłownia,1,10 zł,50 zł
"MUZYKA,INNE,SPOŁECZNE",Mroooook,3,40 zł,240 zł
"MUZYKA,BLOG,PODCAST",Andrzej Korasiewicz,0,0 zł,0 zł
MUZYKA,Meghan,0,0 zł,0 zł
"MUZYKA,YOUTUBE,SPOŁECZNE",Adrian Burek,0,0 zł,0 zł
"MUZYKA,LITERATURA,FOTOGRAFIA",Mell Falls,127,FALSE,FALSE
MUZYKA,Krynicka Orkiestra Zdrojowa im. Adama Wrońskiego,1,21 zł,710 zł
"MUZYKA,GRAFIKA,SPOŁECZNE",ZELENT,0,0 zł,0 zł
"MUZYKA,TEATR,BLOG",Spojrzenie na musical - Monika Zań,0,0 zł,0 zł
"MUZYKA,EDUKACJA,BLOG",Michał Przerwa-Tetmajer,1,33 zł,198 zł
"MUZYKA,YOUTUBE,PODCAST",Punkowe Radio Underground,4,100 zł,470 zł
"MUZYKA,GRY,STREAMERZY",henry1337,0,0 zł,0 zł
"MUZYKA,YOUTUBE,NAUKA",Christone Bartener,1,10 zł,140 zł
MUZYKA,Anjunafamily Poland,16,660 zł,4000 zł
MUZYKA,Magic Lute,0,0 zł,0 zł
"MUZYKA,SZTUKA,SPORT",IMPULSE project,0,0 zł,0 zł
"MUZYKA,EDUKACJA,YOUTUBE",Mariusz Śniegulski,1,10 zł,40 zł
"MUZYKA,SZTUKA,YOUTUBE",Królik Official,0,0 zł,0 zł
"MUZYKA,EDUKACJA,#KULTURAWSIECI",Projekt Muzyka,1,5 zł,110 zł
"MUZYKA,SZTUKA,GRAFIKA",eS,6,183 zł,878 zł
"MUZYKA,ZDROWIE,STREAMERZY",Erwin Grzelecki,0,0 zł,0 zł
"MUZYKA,EDUKACJA,YOUTUBE",Hula Hula Kids,0,0 zł,0 zł
"MUZYKA,FILM,LITERATURA",Natalia Zimniewicz,0,0 zł,0 zł
"MUZYKA,EDUKACJA",Ear-learning,3,50 zł,470 zł
"MUZYKA,SZTUKA,EDUKACJA",GMINNA MŁODZIEŻOWA ORKIESTRA DĘTA W PIŃCZYCACH,0,0 zł,0 zł
"MUZYKA,SZTUKA",Maciej ŚwiętyJankowski,1,200 zł,1800 zł
"MUZYKA,SZTUKA,SPOŁECZNE",Kręgi w zbożu,1,18 zł,72 zł
"MUZYKA,SZTUKA,YOUTUBE",Ol.ka Pieśń Serca,3,53 zł,471 zł
"MUZYKA,LITERATURA",Ewa Gralla,0,0 zł,0 zł
"MUZYKA,SZTUKA,YOUTUBE",Paulina Pawlik,1,7 zł,35 zł
MUZYKA,AMAYA,0,0 zł,0 zł
"MUZYKA,WYPRAWY,YOUTUBE",Olaf KeZu Osienienko - Projekt Travel Rap,7,290 zł,1810 zł
MUZYKA,YaniKa,1,50 zł,460 zł
"MUZYKA,SZTUKA,SPOŁECZNE",HMK69,0,0 zł,30 zł
MUZYKA,Zuzanna Wysocka,0,0 zł,0 zł
"MUZYKA,EDUKACJA",Weronika Zielińska,0,0 zł,0 zł
"MUZYKA,SZTUKA",Olga Stolarek,0,0 zł,0 zł
MUZYKA,Maks Łapiński,0,0 zł,0 zł
MUZYKA,Michał Wójcik,0,0 zł,0 zł
"MUZYKA,SZTUKA,BLOG",MetalNews.pl,8,111 zł,293 zł
"MUZYKA,SZTUKA",Magdalena Mikulska,0,0 zł,0 zł
"MUZYKA,SZTUKA",Maya Wasserman,1,50 zł,100 zł
"MUZYKA,SZTUKA",ARVL,0,0 zł,0 zł
"MUZYKA,FILM,TEATR",Georg Gnatkowski,0,0 zł,0 zł
"MUZYKA,FILM,SZTUKA",Zły Gerda,0,0 zł,0 zł
"MUZYKA,SZTUKA",Liwia Limberger,0,0 zł,45 zł
"MUZYKA,SZTUKA,EDUKACJA",Shandy & Eva,2,5 zł,15 zł
MUZYKA,ANOWA,12,450 zł,3550 zł
MUZYKA,Norbert Sierschyński,0,0 zł,0 zł
"MUZYKA,SZTUKA,YOUTUBE",Paweł Piekarski,0,0 zł,0 zł
MUZYKA,Vex Candy,0,0 zł,0 zł
MUZYKA,Lunatycy Martwej Dyskoteki,0,0 zł,0 zł
"MUZYKA,SZTUKA,TEATR",Alexandra Idkowska,0,0 zł,0 zł
"MUZYKA,SZTUKA",Anna Maciejczyk,0,0 zł,0 zł
"MUZYKA,YOUTUBE",Inka,3,90 zł,520 zł
MUZYKA,Marek Kędzierski,0,0 zł,0 zł
"MUZYKA,RĘKODZIEŁO,KULINARNI",Monika Klamka,0,0 zł,0 zł
MUZYKA,Arleta Batorska,0,0 zł,0 zł
"MUZYKA,SZTUKA,SPOŁECZNE",Steiger Polska,4,108 zł,883 zł
"MUZYKA,SZTUKA,PODCAST",Usłysz Biblię,0,0 zł,0 zł
"MUZYKA,FILM,SZTUKA",Weronika Borowiec,0,0 zł,0 zł
"MUZYKA,LITERATURA,PUBLICYSTYKA",red.tomasz,0,0 zł,0 zł
"MUZYKA,SZTUKA",Bajki o Dorosłych,3,80 zł,1290 zł
MUZYKA,Zazi,1,5 zł,40 zł
"MUZYKA,SZTUKA,YOUTUBE",Pampush,1,10 zł,335 zł
"MUZYKA,STREAMERZY",Iglesia - oprawa muzyczna,0,0 zł,0 zł
MUZYKA,Marta Haponik,0,0 zł,110 zł
"MUZYKA,SZTUKA,YOUTUBE",AMB Ambroży,0,0 zł,0 zł
"MUZYKA,SZTUKA,INNE",Noise Gate Production,3,45 zł,600 zł
"MUZYKA,SZTUKA",Panteon,0,0 zł,0 zł
"MUZYKA,SZTUKA,TEATR",obcy artist run space,1,10 zł,150 zł
"MUZYKA,RĘKODZIEŁO,STREAMERZY",Magdalena Machowska,0,0 zł,10 zł
"MUZYKA,LITERATURA,SZTUKA",Mathieu Morelle,0,0 zł,0 zł
"MUZYKA,MODA,YOUTUBE",Polish Banany,0,0 zł,50 zł
"MUZYKA,EDUKACJA,YOUTUBE,#KULTURAWSIECI",tere-fere-UKU - czyli hUKU wiELE z UKULELE,3,160 zł,1200 zł
"MUZYKA,ZDROWIE",Day of Maxior,0,0 zł,0 zł
"MUZYKA,INNE,SPOŁECZNE",Fundacja SztukArt,0,0 zł,0 zł
"MUZYKA,SZTUKA",Planety,2,33 zł,2259 zł
"MUZYKA,YOUTUBE",Żaneta Chełminiak,10,284 zł,5086 zł
MUZYKA,Przemysław Kupidura,2,220 zł,2430 zł
"MUZYKA,SZTUKA,TEATR",Nożyce się odezwą,0,0 zł,0 zł
"MUZYKA,BLOG,YOUTUBE",Metalowe Bicie Serca,0,0 zł,0 zł
"MUZYKA,SZTUKA,EDUKACJA",Alicja Libura,FALSE,FALSE,FALSE
"MUZYKA,PODCAST,STREAMERZY",Muzyczne Transmisje,0,0 zł,0 zł
"MUZYKA,LITERATURA,SZTUKA",Fundacja ARTernatywa,1,100 zł,1925 zł
MUZYKA,KLIK RADIO,0,0 zł,0 zł
"MUZYKA,SZTUKA,EDUKACJA",Mietek Szcześniak,4,145 zł,2970 zł
"MUZYKA,EDUKACJA,NAUKA","Fundacja Ja, Nauczyciel",2,30 zł,2040 zł
"MUZYKA,YOUTUBE",Kazu,6,50 zł,1410 zł
"MUZYKA,FILM,SZTUKA",TV Atlantyda / Marcelo Zammenhoff,1,10 zł,265 zł
"MUZYKA,SZTUKA",Chór Harmonia Sphaerarum,0,0 zł,0 zł
"MUZYKA,YOUTUBE,STREAMERZY",Crazy Mike,0,0 zł,0 zł
MUZYKA,Besto,3,35 zł,65 zł
"MUZYKA,STREAMERZY",RadioEurostacja,0,0 zł,342 zł
"MUZYKA,POLITYKA",Volny Chor,2,120 zł,820 zł
MUZYKA,Lips of Ashes band,2,60 zł,1450 zł
"MUZYKA,SZTUKA,INNE",RudaRt,0,0 zł,0 zł
MUZYKA,"Nasze Radio 92,1 FM... nostalgicznie",1,100 zł,800 zł
"MUZYKA,FILM,SZTUKA",Greg Helden,0,0 zł,0 zł
"MUZYKA,WYPRAWY,SPORT",Fly-Consulting,1,10 zł,180 zł
"MUZYKA,SZTUKA,YOUTUBE",Łukasz Jaskulski,0,0 zł,70 zł
MUZYKA,Radek Stojda,0,0 zł,60 zł
MUZYKA,Good Vibe Festival,6,110 zł,1110 zł
"MUZYKA,YOUTUBE",Mateusz Rajski,3,100 zł,310 zł
"MUZYKA,SZTUKA,YOUTUBE",Damian Spider Art,0,0 zł,0 zł
"MUZYKA,YOUTUBE",Joanna Płonka - muzycznie,6,64 zł,725 zł
"MUZYKA,EDUKACJA,YOUTUBE",Łukasz Gołąbek,0,0 zł,0 zł
"MUZYKA,SPOŁECZNE,STREAMERZY",Radio Pasja Tańca,5,110 zł,1980 zł
"MUZYKA,WYPRAWY,SPOŁECZNE",Podróżniczy Hubcio,3,57 zł,4098 zł
"MUZYKA,BLOG,YOUTUBE",Pioter Gra,0,0 zł,0 zł
"MUZYKA,YOUTUBE",Pablo Novacci Smolak,0,0 zł,58 zł
"MUZYKA,PODCAST,STREAMERZY",Hardcorowe Harce,1,10 zł,FALSE
"MUZYKA,SZTUKA,EDUKACJA",Chór Alla Polacca,0,0 zł,0 zł
MUZYKA,KONESER,1,20 zł,950 zł
"MUZYKA,SZTUKA,SPOŁECZNE",Stowarzyszenie Muzyczne Canon w Nowym Wiśniczu,7,200 zł,660 zł
"MUZYKA,FILM,TEATR",Paweł Szymański,0,0 zł,480 zł
"MUZYKA,SPORT,EDUKACJA",Totem Tribe,0,0 zł,0 zł
"MUZYKA,FILM",Chrześcijańskie Centrum Kultury Maryi Królowej,0,0 zł,0 zł
"MUZYKA,SZTUKA,RĘKODZIEŁO",COVALITTO,3,66 zł,176 zł
"MUZYKA,EDUKACJA,YOUTUBE",Tak Brzmi Miasto,20,742 zł,9409 zł
"MUZYKA,EDUKACJA",Emil Olejnik,1,50 zł,1510 zł
"MUZYKA,SZTUKA,NAUKA",Weronika Piekut,0,0 zł,0 zł
"MUZYKA,GRY,NAUKA",Propofolek,0,0 zł,0 zł
"MUZYKA,SZTUKA,TEATR",Z całego serca KULTURA,0,0 zł,0 zł
"MUZYKA,GRY,SZTUKA",grimuald,0,0 zł,0 zł
"MUZYKA,SPOŁECZNE",Radio Oborniki,1,50 zł,310 zł
"MUZYKA,SZTUKA,YOUTUBE",Zazula,10,280 zł,3080 zł
"MUZYKA,RĘKODZIEŁO,EDUKACJA",Fundacja Mali Artyści,2,20 zł,2760 zł
"MUZYKA,PUBLICYSTYKA,PODCAST",Mateusz Wawrzyszkiewicz,1,5 zł,385 zł
MUZYKA,Parasoul,0,0 zł,60 zł
"MUZYKA,SZTUKA,TEATR",Lesław Białecki,0,0 zł,0 zł
"MUZYKA,YOUTUBE,PODCAST",Metalurgia,38,879 zł,11 tys. zł
"MUZYKA,INNE,SPOŁECZNE",Denis Popławski,0,0 zł,0 zł
"MUZYKA,SZTUKA,EDUKACJA",Stowarzyszenie Artystów Euforis,1,40 zł,700 zł
MUZYKA,OREADA,5,140 zł,1040 zł
"MUZYKA,FILM,YOUTUBE",DAVAY DAVAY,0,0 zł,0 zł
"MUZYKA,YOUTUBE,ZDROWIE",RULon & #BROiMYprojects,1,10 zł,30 zł
"MUZYKA,EDUKACJA,YOUTUBE",Gitarmaniak,0,0 zł,0 zł
"MUZYKA,INNE,PODCAST",Radio FortyPlus,14,415 zł,6170 zł
"MUZYKA,YOUTUBE",Michał Król,33,3055 zł,26 tys. zł
"MUZYKA,FOTOGRAFIA,SZTUKA",Fundacja Bacalarte,0,0 zł,0 zł
"MUZYKA,BLOG",krytyczniemuzycznie.com,0,0 zł,0 zł
"MUZYKA,SPORT,MOTORYZACJA",Shuffle,0,0 zł,0 zł
"MUZYKA,YOUTUBE,PODCAST",Hes Home Alone,0,0 zł,0 zł
"MUZYKA,FILM,YOUTUBE",czemplikmusic,1,20 zł,670 zł
"MUZYKA,SZTUKA,BLOG",Alina Adamski,0,0 zł,120 zł
"MUZYKA,PODCAST,SPOŁECZNE",Agata Wieliczko,0,0 zł,400 zł
"MUZYKA,FILM,YOUTUBE",Asia Kamińska,0,0 zł,0 zł
"MUZYKA,SZTUKA,STREAMERZY,#KULTURAWSIECI",REMIZA - REMI JUŚKIEWICZ,0,0 zł,0 zł
MUZYKA,Wasza Scena Muzyczna,0,0 zł,0 zł
"MUZYKA,YOUTUBE",Vasilly,5,135 zł,135 zł
"MUZYKA,EDUKACJA,YOUTUBE",Akademia Keyboardu KeyboardWay,4,160 zł,480 zł
"MUZYKA,INNE,PODCAST",Zosia z lasu,0,0 zł,130 zł
"MUZYKA,SZTUKA,SPOŁECZNE",Mateusz Ciseł,0,0 zł,0 zł
"MUZYKA,EDUKACJA,BLOG,#KULTURAWSIECI",Kronika Ludwika,1,100 zł,2030 zł
"MUZYKA,MOTORYZACJA,PODCAST",Lord Szuter & Ubojnia Nudy,5,45 zł,3860 zł
"MUZYKA,ZWIERZĘTA,SPOŁECZNE",KARMA,0,0 zł,0 zł
"MUZYKA,SZTUKA,EDUKACJA",Maciej Jaroń,0,0 zł,10 zł
"MUZYKA,YOUTUBE",Basia Pospieszalska i Michał Bąk,3,60 zł,1195 zł
"MUZYKA,EDUKACJA,SPOŁECZNE",Stowarzyszenie Gospel,9,479 zł,6447 zł
"MUZYKA,YOUTUBE",Akordeonista Filip,1,10 zł,380 zł
